# Total ejected mass (in Msun SNII + over + wind) Portinari+98 (Table 10)
# - for different (main-ISM)-elements H1, He4, C12, N14, O16 and Fe56 
# - for a set of stellar mass 12, 15, 20, 30, 40, 60, 100 and 120
# Z = 0.0004
# 1) M_init | 2) H1 | 3) He4 | 4) C12 | 5) N14 | 6) O16, | Fe56
12.0 	5.77  	 3.45 	 0.170 	  1.28E-03     	0.671	 0.157
15.0	6.86	 4.16	 0.214	  1.50E-03	    1.41	 9.59E-02	
20.0	8.51	 5.24	 0.284	  2.18E-03	    3.03	 0.157
30.0	11.54    7.22	 0.350	  3.33E-03	    3.15	 4.39E-04
40.0	14.33	 9.26    0.339	  4.86E-03	    0.824	 5.52E-04	 
60.0	20.01	 14.60	 0.510	  7.57E-03 	    0.288  	 8.29E-04
100.0	28.07	 23.46	 0.719	  1.08E-02	    13.95	 1.21E-03
120.0	32.80	 33.25	 1.97	  1.58E-02	    19.16	 1.65E-03
