#T [K]    log Lambda [erg/s/cm^3]
963169152    -26.2696    
69643824    -26.7451    
8924799    -27.1127    
4628001    -27.2157    
2.00806e+06    -27.2892    
1.54416e+06    -27.2990    
1.20993e+06    -27.3088    
921731    -27.3039    
689127    -27.2892    
515221    -27.2500    
403702    -27.1863    
313367    -27.0833    
243246    -26.9755    
201631    -26.8578    
167136    -26.7157    
143841    -26.5980    
123792    -26.4510    
106537    -26.3137    
92552.2    -26.2157    
85058.4    -26.1716    
81160.7    -26.1814    
76718.4    -26.2108    
74589.3    -26.2598    
68549.9    -26.3627    
66025.2    -26.4706    
58995.3    -26.5931    
53210.8    -26.6961    
48902.4    -26.7206    
45366.5    -26.7010    
42483.0    -26.6716    
37959.7    -26.5980    
33918.0    -26.5049    
30592.3    -26.3971    
27592.7    -26.3039    
25597.6    -26.2353    
23305.4    -26.1912    
21620.3    -26.2108    
20019.4    -26.2353    
18817.4    -26.3000    
17489.6    -26.3529    
16719.5    -26.4471    
16073.5    -26.5529    
15804.4    -26.6500    
15279.5    -26.8147    
14606.7    -26.9324    
13963.6    -27.0941    
12760.9    -27.3147    
11927.4    -27.5441    
9154.83    -28.1500    
8556.87    -28.1971    
7475.56    -28.2647    
6421.54    -28.3059    
5363.05    -28.3588    
4281.81    -28.4147    
3286.47    -28.4853    
2357.75    -28.6000    
1598.89    -28.7235    
1186.47    -28.8265    
777.874    -28.9824    
567.559    -29.1176    
402.614    -29.2559    
261.008    -29.4441    
186.199    -29.5824    
126.270    -29.7500    
87.5788    -29.9147    
51.5947    -30.1471    
30.3956    -30.3794    
18.9437    -30.5882    
10.6687    -30.8441    
