#T [K]    log Lambda (erg/s/cm^3)
950946688    -26.1313    
697872640    -26.1654    
546883520    -26.1996    
416677280    -26.2337    
332699904    -26.2777    
253485728    -26.3167    
191331824    -26.3509    
143067632    -26.3948    
109007064    -26.4192    
85425152    -26.4387    
63877548    -26.4728    
49591600    -26.4923    
38141776    -26.5068    
32219480    -26.5067    
26711472    -26.5017    
23427688    -26.4674    
20741718    -26.4183    
18022946    -26.3594    
16412373    -26.2908    
14806131    -26.2270    
13609749    -26.1682    
12627744    -26.1143    
11498860    -26.0652    
10373096    -26.0211    
9097442    -26.0112    
7830393    -26.0062    
6491518    -26.0208    
5.43210e+06    -26.0501    
4588524    -26.0647    
3.87621e+06    -26.0450    
3.46413e+06    -25.9960    
3.18421e+06    -25.9372    
2.95437e+06    -25.8979    
2.79311e+06    -25.8391    
2.59162e+06    -25.7754    
2.40474e+06    -25.6969    
2.29487e+06    -25.6430    
2.07031e+06    -25.5695    
1.88521e+06    -25.5253    
1.65355e+06    -25.4615    
1.45028e+06    -25.4223    
1.21375e+06    -25.3879    
1.03497e+06    -25.3731    
916254    -25.3583    
803553    -25.3632    
691638    -25.3582    
623901    -25.3336    
573461    -25.2993    
512461    -25.2845    
471008    -25.2747    
416979    -25.2599    
394196    -25.2305    
372675    -25.1766    
352332    -25.1178    
342601    -25.0589    
326944    -25.0099    
314948    -24.9511    
303391    -24.8923    
286830    -24.8335    
266132    -24.7844    
246917    -24.7550    
229077    -24.7550    
204696    -24.7745    
186370    -24.7989    
169682    -24.8332    
155944    -24.8625    
143318    -24.8968    
130489    -24.9114    
118813    -24.9114    
107171    -24.9113    
95766.9    -24.9211    
88013.5    -24.9504    
81647.3    -24.9945    
75743.8    -25.0238    
68958.1    -25.0826    
64569.6    -25.1511    
58785.0    -25.2099    
56086.8    -25.2687    
52520.9    -25.3029    
50111.7    -25.3470    
46924.4    -25.3960    
44353.7    -25.4449    
40761.2    -25.4939    
38168.0    -25.5526    
36417.5    -25.5918    
33783.0    -25.6408    
30756.7    -25.6946    
28001.8    -25.7436    
25257.3    -25.7631    
23874.5    -25.7925    
22148.4    -25.8169    
20546.8    -25.8512    
19240.3    -25.8903    
17848.0    -25.9540    
17189.3    -26.0079    
16400.3    -26.0666    
15943.8    -26.1205    
15212.0    -26.1793    
14650.6    -26.2332    
13978.0    -26.2968    
13336.2    -26.3654    
12844.2    -26.4144    
12369.9    -26.4781    
11367.6    -26.5466    
10846.0    -26.5956    
10155.9    -26.6592    
9689.91    -26.7082    
8988.94    -26.7572    
8576.76    -26.7914    
8031.40    -26.8306    
7450.40    -26.8795    
6657.20    -26.9187    
6233.96    -26.9529    
5622.68    -26.9970    
5024.30    -27.0116    
4574.40    -27.0459    
3863.91    -27.0752    
3485.09    -27.1094    
3056.36    -27.1241    
2730.99    -27.1583    
2395.03    -27.1729    
2080.78    -27.1924    
1807.79    -27.2022    
1600.32    -27.2217    
1377.38    -27.2363    
1207.92    -27.2558    
1069.30    -27.2705    
928.992    -27.2949    
799.568    -27.3144    
714.449    -27.3487    
626.552    -27.3682    
534.216    -27.4024    
486.385    -27.4317    
426.534    -27.4660    
381.134    -27.4904    
342.160    -27.5259    
312.250    -27.5626    
282.957    -27.6029    
258.223    -27.6396    
230.729    -27.6837    
210.561    -27.7204    
194.876    -27.7571    
179.092    -27.8048    
164.588    -27.8489    
150.202    -27.8819    
138.036    -27.9333    
126.855    -27.9847    
116.579    -28.0361    
105.640    -28.0912    
96.4026    -28.1425    
83.7472    -28.2013    
75.8885    -28.2563    
70.2335    -28.3077    
63.1965    -28.3665    
57.2642    -28.4399    
52.6265    -28.4840    
48.7043    -28.5427    
44.7576    -28.6125    
41.4212    -28.6786    
38.8761    -28.7484    
35.7259    -28.8182    
33.5312    -28.8806    
31.0304    -28.9687    
29.1227    -29.0569    
27.7205    -29.1230    
26.3855    -29.1965    
25.2921    -29.2663    
24.0736    -29.3508    
22.2782    -29.4353    
21.3546    -29.5161    
20.3265    -29.5822    
19.4839    -29.6593    
18.5453    -29.7402    
17.9024    -29.8063    
17.4038    -29.8687    
16.3346    -29.9348    
15.9915    -30.0047    
15.4367    -30.0818    
14.7972    -30.1479    
14.3846    -30.2288    
13.5960    -30.2985    
13.1244    -30.3720    
12.7586    -30.4492    
11.8904    -30.5336    
11.4783    -30.5924    
10.8491    -30.6622    
