#T [K]    log Lambda [erg/s/cm^3]
972247680    -26.2574    
17869024    -26.9779    
8.06862e+06    -27.1103    
4.72673e+06    -27.1765    
3.37197e+06    -27.2096    
2.49164e+06    -27.2132    
1.58824e+06    -27.2022    
885703    -27.1875    
556682    -27.1324    
417177    -27.0846    
354845    -27.0074    
306103    -26.9154    
269689    -26.8235    
229393    -26.7537    
195118    -26.6838    
167136    -26.6176    
143167    -26.5368    
127924    -26.4449    
112706    -26.3456    
101417    -26.2574    
91258.9    -26.1765    
84462.0    -26.1544    
77623.3    -26.1618    
72860.2    -26.2426    
67909.9    -26.3309    
62852.0    -26.4449    
57358.0    -26.5588    
54987.0    -26.6287    
49828.6    -26.6838    
43593.3    -26.6507    
38678.7    -26.5772    
35297.7    -26.4890    
31098.7    -26.3971    
28380.3    -26.3051    
26082.4    -26.2243    
23469.9    -26.1801    
21569.6    -26.1544    
20246.1    -26.1691    
19137.9    -26.2132    
18476.3    -26.2904    
17221.0    -26.3713    
16278.4    -26.4706    
15938.4    -26.5699    
15387.4    -26.6691    
14960.4    -26.8199    
14241.4    -26.9449    
13367.5    -27.0919    
12459.3    -27.2206    
11777.3    -27.3529    
11054.6    -27.4816    
10597.7    -27.6250    
10303.6    -27.7426    
9947.37    -27.8934    
9469.30    -28.0331    
8888.24    -28.1397    
8054.44    -28.1985    
6164.76    -28.2831    
4367.00    -28.3750    
3486.57    -28.4338    
2594.52    -28.5294    
1863.96    -28.6250    
1213.48    -28.7684    
829.893    -28.9007    
571.566    -29.0441    
407.746    -29.1728    
273.030    -29.3272    
181.542    -29.4890    
130.423    -29.6397    
93.0419    -29.7978    
64.0800    -29.9596    
46.0364    -30.1250    
33.7791    -30.2684    
23.9285    -30.4301    
17.0702    -30.5919    
10.5049    -30.8051    
