# lambda               TRANSMISSION   
  5391.295283067798    1.0032477E-9   
  5342.725182123853    1.0581548E-9   
  5295.022067936244    1.1167619E-9   
  5248.163588692916    1.1793523E-9   
  5202.1268632859465   1.2462392E-9   
  5156.891097095783    1.3177575E-9   
  5112.435255864994    1.3942746E-9   
  5068.739035295758    1.4761906E-9   
  5025.783732978398    1.5639402E-9   
  4983.550366627984    1.6579965E-9   
  4942.020887892126    1.7588777E-9   
  4901.177272338471    1.8671464E-9   
  4861.003795225412    1.9834212E-9   
  4821.483543655403    2.1083737E-9   
  4782.600713826108    2.24274E-9     
  4744.340007655548    2.387328E-9    
  4706.68608454768     2.5430218E-9   
  4669.6256632219265   2.710788E-9    
  4633.144309444213    2.8916876E-9   
  4597.228556562802    3.0868876E-9   
  4561.865352283388    3.297668E-9    
  4527.042042853971    3.525436E-9    
  4492.7458767262315   3.7717407E-9   
  4458.965922319259    4.0382924E-9   
  4425.6901450062915   4.3269663E-9   
  4392.90734088124     4.6398405E-9   
  4360.606635563816    4.9792037E-9   
  4328.777025416873    5.347584E-9    
  4297.409159518839    5.747782E-9    
  4266.492628627108    6.1828915E-9   
  4236.017761302652    6.6563466E-9   
  4205.975160472795    7.1719506E-9   
  4176.355277922074    7.733923E-9    
  4147.150074226036    8.3469525E-9   
  4118.350497283745    9.016258E-9    
  4089.948154839635    9.747644E-9    
  4061.9348845623476   1.0547571E-8   
  4034.3027462242      1.1423248E-8   
  4007.043631383291    1.2382726E-8   
  3980.1507925610167   1.3435007E-8   
  3953.6165239766538   1.45901415E-8  
  3927.4337017368694   1.5859387E-8   
  3901.5953894187173   1.725539E-8    
  3876.0944737404852   1.879229E-8    
  3850.925096121544    2.0486077E-8   
  3826.0804838062886   2.2354557E-8   
  3801.5543913245283   2.4417977E-8   
  3777.340732325911    2.6699002E-8   
  3753.4335745445082   2.9223314E-8   
  3729.826803274789    3.2019965E-8   
  3706.515447555371    3.5121616E-8   
  3683.4936731316343   3.8565588E-8   
  3660.756117401034    4.239394E-8    
  3638.2975493582917   4.6654566E-8   
  3616.112553820693    5.140194E-8    
  3594.196778379757    5.6698077E-8   
  3572.54504772886     6.261384E-8    
  3551.1526185608695   6.922986E-8    
  3530.0148605042436   7.663878E-8    
  3509.126959193752    8.4946215E-8   
  3488.485090842916    9.4274036E-8   
  3468.084647214112    1.04761455E-7  
  3447.9214174221015   1.1656956E-7   
  3427.9912879429025   1.2988318E-7   
  3408.2902398160536   1.4491646E-7   
  3388.814072141443    1.61917E-7     
  3369.5594977776095   1.8117117E-7   
  3350.5224886522656   2.0301249E-7   
  3331.699377945161    2.2782713E-7   
  3313.0865807759483   2.5606724E-7   
  3294.680333126639    2.8825892E-7   
  3276.4777276985023   3.25018E-7     
  3258.475150373089    3.6706808E-7   
  3240.6693220097895   4.1525624E-7   
  3223.057034753471    4.7058276E-7   
  3205.634905106633    5.342255E-7    
  3188.4003546971335   6.075793E-7    
  3171.3501305421833   6.9229566E-7   
  3154.4812912731213   7.9033885E-7   
  3137.7909577723153   9.040526E-7    
  3121.276311534974    1.0362266E-6   
  3104.9343632321875   1.1902156E-6   
  3088.7628729628086   1.3700356E-6   
  3072.7589624615043   1.5805391E-6   
  3056.920040295361    1.8275728E-6   
  3041.2435681889256   2.1182375E-6   
  3025.726841395378    2.461168E-6    
  3010.367862683202    2.8668833E-6   
  2995.1640247602277   3.3482875E-6   
  2980.1129888267365   3.921214E-6    
  2965.212462858881    4.60522E-6     
  2950.459992896617    5.4245006E-6   
  2935.8537941585087   6.4091864E-6   
  2921.3914984753656   7.5968615E-6   
