# lambda               TRANSMISSION   
  4706.133159553392    3.504332E-7    
  4669.077252822339    4.0941475E-7   
  4632.599828935369    4.7973856E-7   
  4596.687950470716    5.638623E-7    
  4561.329062336365    6.64835E-7     
  4526.5095122656385   7.8646156E-7   
  4492.218015937328    9.3350116E-7   
  4458.441703668838    1.1119461E-6   
  4425.169985848711    1.3293641E-6   
  4392.3907189248575   1.5953685E-6   
  4360.093956645053    1.922226E-6    
  4328.268229986306    2.3256832E-6   
  4296.904189157444    2.8260588E-6   
  4265.990992434162    3.4497293E-6   
  4235.519843598053    4.231167E-6    
  4205.480484936768    5.2156956E-6   
  4175.864634533291    6.4633487E-6   
  4146.662988920295    8.054236E-6    
  4117.866514609218    1.0096105E-5   
  4089.4672358355665   1.2735111E-5   
  4061.4573842721056   1.617133E-5    
  4033.8282284997103   2.0681315E-5   
  4006.5728250251846   2.6651442E-5   
  3979.6828857194578   3.462768E-5    
  3953.1518540248494   4.539094E-5    
  3926.9718565880944   6.0073817E-5   
  3901.1366980508374   8.0343474E-5   
  3875.638893514144    1.0869419E-4   
  3850.4725850891386   1.4892875E-4   
  3825.630652007494    2.0696118E-4   
  3801.1075519469705   2.922138E-4    
  3776.8965057684895   4.2009685E-4   
  3752.992266479287    6.166154E-4    
  3729.3883757325643   9.2730566E-4   
  3706.079863148296    0.001435477    
  3683.0608952701737   0.0023021603   
  3660.3257907637494   0.0038611032   
  3637.869646554626    0.0068720747   
  3615.687671364191    0.013315673    
  3593.7742587885145   0.029670551    
  3572.1251692995625   0.0880184      
  3550.735047930179    0.3681111      
  3529.599869665044    0.40075284     
  3508.714516576178    0.3611705      
  3488.0751653160437   0.3431712      
  3467.676921587486    0.43824497     
  3447.516151765857    0.61245096     
  3427.5881726869293   0.5559958      
  3407.8895293317664   0.5141337      
  3388.415738009945    0.5606744      
  3369.1635119529965   0.6756035      
  3350.128556058669    0.9267593      
  3331.307742155772    1.0            
  3312.6969535585495   0.6552584      
  3294.293211687374    0.54924786     
  3276.0925687609333   0.6448538      
  3258.0921873831176   0.6172938      
  3240.288279774982    0.59967774     
  3222.6781418680835   0.57851666     
  3205.258137548337    0.6335458      
  3188.025688729717    0.88731265     
  3170.9773031484824   0.7894112      
  3154.1105218283374   0.6979943      
  3137.4219890262516   0.78253514     
  3120.9093584406705   0.6639078      
  3104.569403969579    0.6193906      
  3088.3998859569133   0.60871994     
  3072.397701479815    0.6489204      
  3056.5607118748835   0.6055248      
  3040.886151790266    0.61039144     
  3025.3713168557515   0.6612058      
  3010.013994043561    0.6291441      
  2994.8120106248853   0.49170706     
  2979.7625981930764   0.48910102     
  2964.863890518637    0.6551171      
  2950.1132201492896   0.68194956     
  2935.5088024937      0.61394316     
  2921.0480662830673   0.5978223      
  2906.7293044300363   0.61668473     
  2892.550037350776    0.69872534     
  2878.5086315714916   0.75729173     
  2864.602694949096    0.7143239      
  2850.8306639602274   0.66281766     
  2837.1902298958653   0.65223664     
  2823.679895732035    0.64083797     
  2810.2974324091715   0.58874        
  2797.0414061496576   0.6760508      
  2783.9096639665013   0.62429756     
  2770.900832260408    0.558951       
  2758.0128307345294   0.50843924     
  2745.2443430728117   0.52197367     
  2745.177862720425    0.5223324      
  2743.9185786459057   0.5293071      
