# WAVENUMBER   TRANSMISSION    UNCERTAINTY     FLAG    lambda              
  5.7500095    4.0893075E-5    1.9800284E-7    false   1739.1275503282127  
  5.766872     5.2188825E-5    2.5229832E-7    false   1734.042323607056   
  5.7837343    6.7103094E-5    5.4410947E-7    false   1728.9867486934606  
  5.800596     8.698344E-5     6.991745E-7     false   1723.9607087110508  
  5.8174586    1.1376108E-4    8.5390263E-7    false   1718.9636638075358  
  5.8343205    1.5025111E-4    7.919333E-7     false   1713.9956439714513  
  5.851183     2.0062052E-4    1.5963152E-6    false   1709.0561184990083  
  5.868045     2.7116656E-4    1.796783E-6     false   1704.1451199080268  
  5.8849072    3.7162183E-4    3.240712E-6     false   1699.2621264193422  
  5.9017696    5.1740685E-4    3.3397887E-6    false   1694.4070360707215  
  5.9186316    7.3373015E-4    7.971062E-6     false   1689.579746492785   
  5.935494     0.0010632777    1.2721657E-5    false   1684.7797488888048  
  5.952356     0.0015816904    1.9087334E-5    false   1680.0070816338548  
  5.9692183    0.0024305435    3.4230558E-5    false   1675.2612443261328  
  5.9860806    0.0038946867    1.7749717E-5    false   1670.542144436697   
  6.0029426    0.006608164     3.173512E-5     false   1665.8496889725805  
  6.019805     0.012210946     6.977803E-5     false   1661.1833897503302  
  6.036667     0.031755198     2.1248359E-4    false   1656.5432903879741  
  6.0535293    0.07642507      4.4317087E-4    false   1651.9289106070332  
  6.0703917    0.16709672      8.1511267E-4    false   1647.3401665633196  
  6.0872536    0.21464495      9.571567E-4     false   1642.7769738998343  
  6.104116     0.22517522      9.984812E-4     false   1638.2388638492512  
  6.120978     0.24435535      0.0011547842    false   1633.725884716858   
  6.1378403    0.25994807      0.0011038409    false   1629.2375751865445  
  6.1547027    0.28891003      0.0010666666    false   1624.7738594151067  
  6.1715646    0.2738071       0.0010584153    false   1620.3346610048948  
  6.188427     0.2554027       9.899208E-4     false   1615.9195294955985  
  6.205289     0.26694828      0.0010690299    false   1611.5285173767354  
  6.2221513    0.32166737      0.0013390991    false   1607.1611812184678  
  6.2390137    0.35186484      0.0013838632    false   1602.8174525533166  
  6.2558756    0.35646307      0.0015013113    false   1598.497262324039   
  6.272738     0.35206106      0.0014635932    false   1594.2001773485667  
  6.2896       0.41397583      0.0018254657    false   1589.926253844981   
  6.3064623    0.49679372      0.0023952613    false   1585.6750652710916  
  6.323324     0.5096886       0.0024157197    false   1581.4466692185158  
  6.3401866    0.51154         0.0023835523    false   1577.2406456365607  
  6.357049     0.5481686       0.0026022547    false   1573.056935433131   
  6.373911     0.6086971       0.0030105677    false   1568.8954788861577  
  6.3907733    0.6507379       0.0031236713    false   1564.7558654132913  
  6.407635     0.60381806      0.003088715     false   1560.638155767487   
  6.4244976    0.62378985      0.0029000584    false   1556.5419455052374  
  6.44136      0.69179153      0.0028090267    false   1552.4671816160937  
  6.458222     0.68781406      0.0031679813    false   1548.4138104366455  
  6.4750843    0.65785027      0.0031742274    false   1544.3814364814043  
  6.491946     0.6232559       0.0025952812    false   1540.370123304412   
  6.5088086    0.59348714      0.0022089852    false   1536.3794812307522  
  6.525671     0.6049127       0.0022895345    false   1532.4094628669368  
  6.542533     0.62017983      0.0024106218    false   1528.4600201476806  
  6.5593953    0.6395809       0.0024369792    false   1524.5307718807921  
  6.576257     0.5980543       0.0021911075    false   1520.6217840944628  
  6.5931196    0.543252        0.0017998243    false   1516.7326811011735  
  6.609982     0.60505676      0.0021110238    false   1512.863420697689   
  6.626844     0.67722595      0.002318389     false   1509.013959993809   
  6.6437063    0.6301455       0.0020705713    false   1505.183931341601   
  6.660568     0.5839058       0.0017553288    false   1501.3734029465736  
  6.6774306    0.6282753       0.0019019954    false   1497.5820123801138  
  6.694293     0.6805398       0.0021058198    false   1493.8097222370618  
  6.711155     0.67009306      0.0018802194    false   1490.0564944133682  
  6.7280173    0.6568349       0.0016635323    false   1486.32197410642    
  6.7448792    0.7008677       0.0018819043    false   1482.6062314294404  
  6.7617416    0.74947774      0.0022359248    false   1478.9089165326789  
  6.778604     0.78399926      0.0024227113    false   1475.2299964483086  
  6.795466     0.83120465      0.0025444378    false   1471.569437500548   
  6.8123283    0.8886549       0.0027699573    false   1467.9268970792543  
  6.8291903    0.92226756      0.0029793314    false   1464.3024469604136  
  6.8460526    0.98109484      0.0029636163    false   1460.6957492376828  
  6.8629146    0.98738426      0.0031749024    false   1457.1068762886418  
  6.879777     0.9193913       0.0030228603    false   1453.5354948156835  
  6.8966393    0.88995266      0.0029534877    false   1449.9815775112472  
  6.9135013    0.95193         0.0032395145    false   1446.4450963512982  
  6.9303637    1.0             0.0031811176    false   1442.9257247785301  
  6.9472256    0.98920554      0.0031872576    false   1439.4235365274094  
  6.964088     0.9084459       0.003037916     false   1435.9382094223997  
  6.9809504    0.8758633       0.0026877327    false   1432.4697198396134  
  6.9978123    0.8583912       0.002662568     false   1429.0180434351842  
  7.0146747    0.8137544       0.0024581014    false   1425.5828644443732  
  7.0315366    0.8063605       0.0023681675    false   1422.1642577637454  
  7.048399     0.83632386      0.0025112329    false   1418.761911797696   
  7.0652614    0.7765717       0.0022129163    false   1415.3758063328519  
  7.0821233    0.73242307      0.0021387206    false   1412.0059204342172  
  7.0989857    0.7540487       0.0021602674    false   1408.6519486081486  
  7.1158476    0.79204094      0.0023691538    false   1405.3139667362102  
  7.13271      0.77261543      0.0021331985    false   1401.9916732945026  
  7.1495724    0.71031386      0.0018006917    false   1398.6850512280457  
  7.1664343    0.7025724       0.0017425764    false   1395.3940827602341  
  7.1832967    0.75882304      0.0017929594    false   1392.1184721793968  
  7.2001586    0.82887983      0.0019003804    false   1388.8582961910756  
  7.217021     0.87553793      0.0020348085    false   1385.6132628662078  
  7.2338834    0.8514604       0.0018850962    false   1382.383358075345   
  7.2507453    0.8713951       0.0018073203    false   1379.1685669688409  
  7.2676077    0.886087        0.0020273863    false   1375.9686031578192  
  7.2844696    0.9313403       0.0020435473    false   1372.7835440253878  
  7.301332     0.9491132       0.0020403564    false   1369.6131067894908  
  7.3020806    0.9484246       0.0021663231    true    1369.4726893586492  
  7.3037524    0.9467503       0.0021664058    true    1369.1592241575565  
  7.3054237    0.94494593      0.0021664887    true    1368.8459917715932  
  7.3070955    0.9430581       0.0021665718    true    1368.5328133677103  
  7.3087673    0.94110173      0.0021666547    true    1368.2197782352823  
  7.310439     0.93905956      0.002166738     true    1367.906886276016   
  7.312111     0.93688464      0.0021668214    true    1367.594137391709   
  7.3137827    0.93450636      0.0021669047    true    1367.2815314842492  
  7.3154545    0.9318401       0.0021720557    true    1366.9690684556128  
  7.317126     0.9288488       0.0021720557    true    1366.6568372691654  
  7.318194     0.9267485       0.0021720557    false   1366.457369066286   
  7.3187976    0.9254698       0.0021098815    true    1366.3446596637837  
  7.3204694    0.92164165      0.0021098815    true    1366.032624643722   
  7.322141     0.91732436      0.0021098815    true    1365.7207321113158  
  7.323813     0.91250676      0.0021098815    true    1365.408981968988   
  7.3254848    0.9072113       0.0021098815    true    1365.097374119252   
  7.3271565    0.9014959       0.0021098815    true    1364.7859084647102  
  7.328828     0.8954522       0.0021098815    true    1364.4746736851666  
  7.3304996    0.88920134      0.0021098815    true    1364.1634920886856  
  7.3321714    0.88288593      0.0021098815    true    1363.8524523957647  
  7.333843     0.8766611       0.0021116256    true    1363.541554509361   
  7.3350563    0.87228763      0.0021116256    false   1363.316051613212   
  7.335515     0.87068295      0.0019269577    true    1363.23079833252    
  7.337187     0.8650974       0.0019269577    true    1362.9201837683747  
  7.3388586    0.86002946      0.0019269577    true    1362.6097107201479  
  7.34053      0.8555738       0.0019269577    true    1362.2994675854368  
  7.3422017    0.8517876       0.0019269577    true    1361.9892772387693  
