# WAVENUMBER    TRANSMISSION    UNCERTAINTY     FLAG    lambda              
  1.3151577     5.533287E-8     5.828636E-9     false   7603.651155847055   
  1.3320186     5.570044E-8     5.8675784E-9    false   7507.402596542514   
  1.3488796     5.6075315E-8    5.9073124E-9    false   7413.560246542224   
  1.3657407     5.645767E-8     5.947876E-9     false   7322.034348047071   
  1.3826016     5.6847576E-8    5.9892145E-9    false   7232.741423317244   
  1.3994626     5.724516E-8     6.0313776E-9    false   7145.600131112429   
  1.4163235     5.7650578E-8    6.0743734E-9    false   7060.533627562635   
  1.4331846     5.8063947E-8    6.1182073E-9    false   6977.468104601867   
  1.4500456     5.8485412E-8    6.1629346E-9    false   6896.334914629101   
  1.4669065     5.8915116E-8    6.2085284E-9    false   6817.066851822596   
  1.4837676     5.9353177E-8    6.2550045E-9    false   6739.599790949362   
  1.5006286     5.979979E-8     6.302397E-9     false   6663.87410099232    
  1.5174896     6.025503E-8     6.35071E-9      false   6589.831200840559   
  1.5343505     6.0719096E-8    6.39998E-9      false   6517.415614014846   
  1.5512116     6.1192196E-8    6.450202E-9     false   6446.57378063841    
  1.5680726     6.167442E-8     6.50141E-9      false   6377.255920010619   
  1.5849335     6.2165945E-8    6.553625E-9     false   6309.4129045971285  
  1.6017945     6.266696E-8     6.6068444E-9    false   6242.998160428661   
  1.6186556     6.317763E-8     6.6610935E-9    false   6177.96659912491    
  1.6355165     6.36981E-8      6.716391E-9     false   6114.276347155227   
  1.6523775     6.42286E-8      6.7727868E-9    false   6051.8858937142795  
  1.6692386     6.476931E-8     6.830251E-9     false   5990.755423211766   
  1.6860995     6.532038E-8     6.888818E-9     false   5930.847987574685   
  1.7029605     6.588209E-8     6.9485604E-9    false   5872.126835466643   
  1.7198215     6.64546E-8      7.009424E-9     false   5814.557076263327   
  1.7366825     6.703808E-8     7.0714794E-9    false   5758.104779065906   
  1.7535435     6.763276E-8     7.134744E-9     false   5702.73849611303    
  1.7704045     6.8238904E-8    7.1992217E-9    false   5648.426806966616   
  1.7872655     6.885664E-8     7.2649544E-9    false   5595.139491498178   
  1.8041265     6.948628E-8     7.3319857E-9    false   5542.848571868448   
  1.8209875     7.012804E-8     7.400301E-9     false   5491.526000700466   
  1.8378484     7.078214E-8     7.4699145E-9    false   5441.145126253568   
  1.8547095     7.144881E-8     7.540912E-9     false   5391.679919395471   
  1.8715705     7.212836E-8     7.613284E-9     false   5343.106322338572   
  1.8884314     7.2820995E-8    7.687083E-9     false   5295.400109246009   
  1.9052925     7.352704E-8     7.762302E-9     false   5248.537923881945   
  1.9221535     7.4246685E-8    7.839003E-9     false   5202.498208902499   
  1.9390144     7.498028E-8     7.917223E-9     false   5157.259183043118   
  1.9558754     7.572802E-8     7.9969285E-9    false   5112.800138866947   
  1.9727365     7.6490345E-8    8.0782385E-9    false   5069.100770564703   
  1.9895974     7.726737E-8     8.161095E-9     false   5026.14237439734    
  2.0064585     7.805954E-8     8.245632E-9     false   4983.905670558243   
  2.0233195     7.8867124E-8    8.331785E-9     false   4942.373206501637   
  2.0401804     7.969048E-8     8.41968E-9      false   4901.527228090424   
  2.0570414     8.0529894E-8    8.509309E-9     false   4861.350854563306   
  2.0739024     8.138574E-8     8.600692E-9     false   4821.827754125761   
  2.0907633     8.225831E-8     8.693876E-9     false   4782.942121814325   
  2.1076243     8.314801E-8     8.788931E-9     false   4744.678658423394   
  2.1244855     8.405526E-8     8.885876E-9     false   4707.022022193897   
  2.1413465     8.498028E-8     8.984743E-9     false   4669.958930944174   
  2.1582074     8.592367E-8     9.0856025E-9    false   4633.474949343683   
  2.1750684     8.688566E-8     9.188497E-9     false   4597.556609752734   
  2.1919293     8.786667E-8     9.293398E-9     false   4562.190858919742   
  2.2087903     8.8867225E-8    9.400476E-9     false   4527.365042164913   
  2.2256513     8.98877E-8      9.509673E-9     false   4493.066888282858   
  2.2425125     9.092849E-8     9.621116E-9     false   4459.284021025797   
  2.2593734     9.1990074E-8    9.7347606E-9    false   4426.005848784451   
  2.2762344     9.3072984E-8    9.850762E-9     false   4393.2206855210925  
  2.2930954     9.4177615E-8    9.969121E-9     false   4360.917656059161   
  2.3099563     9.530448E-8     1.0089882E-8    false   4329.086202744879   
  2.3268173     9.645406E-8     1.0213085E-8    false   4297.71607394282    
  2.3436782     9.762696E-8     1.0338892E-8    false   4266.797313028079   
  2.3605394     9.8823655E-8    1.0467227E-8    false   4236.3198199745075  
  2.3774004     1.00044616E-7   1.0598233E-8    false   4206.275058817394   
  2.3942614     1.0129053E-7    1.0731932E-8    false   4176.6534624676115  
  2.4111223     1.025619E-7     1.0868452E-8    false   4147.446153359346   
  2.4279833     1.0385934E-7    1.1007782E-8    false   4118.644500525349   
  2.4448442     1.05183474E-7   1.1150035E-8    false   4090.2401110935575  
  2.4617052     1.06534884E-7   1.1295293E-8    false   4062.2248221331624  
  2.4785664     1.07914325E-7   1.1443567E-8    false   4034.590304737626   
  2.4954274     1.0932226E-7    1.15949845E-8   false   4007.3296141309183  
  2.5122883     1.1075946E-7    1.1749583E-8    false   3980.4348381051277  
  2.5291493     1.1222671E-7    1.1907467E-8    false   3953.898658383124   
  2.5460103     1.1372465E-7    1.206873E-8     false   3927.713950549039   
  2.5628712     1.1525393E-7    1.2233395E-8    false   3901.8737776712715  
  2.5797322     1.1681555E-7    1.2401599E-8    false   3876.3713841755516  
  2.5965931     1.1841005E-7    1.2573427E-8    false   3851.200189956736   
  2.6134543     1.200383E-7     1.2748922E-8    false   3826.3534356503083  
  2.6303153     1.217012E-7     1.2928291E-8    false   3801.8255779235274  
  2.6471763     1.2339952E-7    1.3111493E-8    false   3777.6101763639613  
  2.6640372     1.251341E-7     1.32986955E-8   false   3753.701298271257   
  2.6808982     1.2690595E-7    1.34900136E-8   false   3730.0931601950892  
  2.6977592     1.2871587E-7    1.3685505E-8    false   3706.780123271112   
  2.71462       1.305649E-7     1.3885228E-8    false   3683.756688730717   
  2.7314813     1.32454E-7      1.4089457E-8    false   3661.0171740235355  
  2.7483423     1.3438415E-7    1.4298192E-8    false   3638.5569907757904  
  2.7652032     1.3635636E-7    1.4511557E-8    false   3616.370711658622   
  2.7820642     1.3837169E-7    1.4729639E-8    false   3594.4533566067457  
  2.7989252     1.4043135E-7    1.4952688E-8    false   3572.8000655562146  
